customerReviewAverage,customerReviewCount,inStoreAvailability,manufacturer,name,onlineAvailability,regularPrice,salePrice,upc
4.8,436.0,True,Apple,Apple - iPhone 6s Plus 32GB - Gold (Verizon),True,599.99,599.99,400055815909
4.8,436.0,True,Apple,Apple - iPhone 6s Plus 32GB - Silver (Verizon),True,599.99,599.99,400055815916
4.8,17.0,True,Apple,Apple - iPhone 6s Plus 128GB - Space Gray (Verizon),True,699.99,699.99,400055816029
4.8,17.0,True,Apple,Apple - iPhone 6s Plus 128GB - Rose Gold (Verizon),True,699.99,699.99,400055816036
4.8,17.0,True,Apple,Apple - iPhone 6s Plus 128GB - Gold (Verizon),True,699.99,699.99,400055816043
4.8,17.0,True,Apple,Apple - iPhone 6s Plus 128GB - Silver (Verizon),True,699.99,699.99,400055816050
4.8,1454.0,True,Apple,Apple - iPhone 7 Plus 32GB - Rose Gold (Verizon),True,719.99,719.99,400055816128
4.8,1454.0,True,Apple,Apple - iPhone 7 Plus 32GB - Gold (Verizon),True,719.99,719.99,400055816135
4.8,1454.0,True,Apple,Apple - iPhone 7 Plus 32GB - Silver (Verizon),True,719.99,719.99,400055816142
4.8,1454.0,True,Apple,Apple - iPhone 7 Plus 32GB - Black (Verizon),True,719.99,719.99,400055816159
4.8,381.0,True,Apple,Apple - iPhone 6s 128GB - Space Gray (Verizon),True,599.99,599.99,400055816166
4.8,1649.0,True,Apple,Apple - iPhone 8 Plus 64GB - (PRODUCT)RED™ Special Edition (Verizon),True,849.99,849.99,400055816173
4.8,381.0,True,Apple,Apple - iPhone 6s 128GB - Gold (Verizon),True,599.99,599.99,400055816180
4.8,381.0,True,Apple,Apple - iPhone 6s 128GB - Silver (Verizon),True,599.99,599.99,400055816197
4.8,1178.0,True,Apple,Apple - iPhone 8 Plus 256GB - (PRODUCT)RED™ Special Edition (Verizon),True,999.99,999.99,400055816210
4.8,2751.0,True,Apple,Apple - iPhone 7 Plus 128GB - Gold (Verizon),True,819.99,819.99,400055816272
4.8,2751.0,True,Apple,Apple - iPhone 7 Plus 128GB - Silver (Verizon),True,819.99,819.99,400055816289
4.8,2751.0,True,Apple,Apple - iPhone 7 Plus 128GB - Black (Verizon),True,819.99,819.99,400055816296
4.8,4.0,True,LG,LG - X Power 16GB - Black (Sprint),False,309.99,309.99,652810519861
4.8,1877.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Orchid Gray (AT&T),True,754.99,754.99,887276214795
4.8,1877.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Arctic Silver (AT&T),True,754.99,754.99,887276209197
4.8,1877.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Midnight Black (AT&T),True,754.99,754.99,887276202297
4.8,1961.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Arctic Silver (Sprint),False,779.99,779.99,887276213651
4.8,1961.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Midnight Black (Sprint),False,779.99,779.99,887276202280
4.8,1961.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Orchid Gray (Sprint),False,779.99,779.99,887276206790
4.8,3655.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Midnight Black (Verizon),True,768.0,768.0,887276201450
4.8,3655.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Arctic Silver (Verizon),True,768.0,768.0,887276206653
4.8,3655.0,True,Samsung,Samsung - Galaxy S8+ 64GB - Orchid Gray (Verizon),True,768.0,768.0,887276207001
4.8,56.0,True,Apple,Apple - iPhone SE 128GB - Rose Gold (AT&T),True,499.99,499.99,190198296726
4.8,56.0,True,Apple,Apple - iPhone SE 128GB - Silver (AT&T),True,499.99,499.99,190198296702
4.8,56.0,True,Apple,Apple - iPhone SE 128GB - Gold (AT&T),True,499.99,499.99,190198296719
4.8,57.0,True,Apple,Apple - iPhone SE 128GB - Gold (Verizon),True,499.99,499.99,190198296795
4.8,88.0,True,Samsung,Samsung - Galaxy S8 Active 64GB - Meteor Gray (AT&T),False,849.99,849.99,887276224169
4.8,1754.0,True,Apple,Apple - iPhone 8 Plus 64GB - Space Gray (AT&T),True,849.99,849.99,400059991029
4.8,1480.0,True,Apple,Apple - iPhone 8 Plus 64GB - Space Gray (Sprint),False,849.99,849.99,400059991036
4.8,1649.0,True,Apple,Apple - iPhone 8 Plus 64GB - Space Gray (Verizon),True,849.99,849.99,400059991050
4.8,1302.0,True,Apple,Apple - iPhone 8 Plus 256GB - Space Gray (AT&T),True,999.99,999.99,400060096386
4.8,1302.0,True,Apple,Apple - iPhone 8 Plus 256GB - Gold (AT&T),True,999.99,999.99,400060096393
4.8,1302.0,True,Apple,Apple - iPhone 8 Plus 256GB - Silver (AT&T),True,999.99,999.99,400060096447
4.8,1754.0,True,Apple,Apple - iPhone 8 Plus 64GB - Gold (AT&T),True,849.99,849.99,400060096591
4.8,1754.0,True,Apple,Apple - iPhone 8 Plus 64GB - Silver (AT&T),True,849.99,849.99,400060096638
4.8,1152.0,True,Apple,Apple - iPhone X 64GB - Space Gray (AT&T),True,1049.99,1049.99,400060096805
4.8,1152.0,True,Apple,Apple - iPhone X 64GB - Silver (AT&T),True,1049.99,1049.99,400060096867
4.8,1353.0,True,Apple,Apple - iPhone 7 Plus 32GB - Jet Black (AT&T),True,719.99,719.99,400060097253
4.8,2446.0,True,Apple,Apple - iPhone 7 32GB - Jet Black (AT&T),True,599.99,599.99,400060097437
4.8,640.0,True,Apple,Apple - iPhone 8 Plus 256GB - Space Gray (Sprint),False,999.99,999.99,400060097475
4.8,640.0,True,Apple,Apple - iPhone 8 Plus 256GB - Gold (Sprint),False,999.99,999.99,400060097482
4.8,640.0,True,Apple,Apple - iPhone 8 Plus 256GB - Silver (Sprint),False,999.99,999.99,400060097536
4.8,1480.0,True,Apple,Apple - iPhone 8 Plus 64GB - Gold (Sprint),False,849.99,849.99,400060097680
4.8,1480.0,True,Apple,Apple - iPhone 8 Plus 64GB - Silver (Sprint),False,849.99,849.99,400060097727
4.8,754.0,True,Apple,Apple - iPhone X 256GB - Space Gray (Sprint),False,1199.99,1199.99,400060097734
4.8,754.0,True,Apple,Apple - iPhone X 256GB - Silver (Sprint),False,1199.99,1199.99,400060097796
4.8,905.0,True,Apple,Apple - iPhone X 64GB - Space Gray (Sprint),False,1049.99,1049.99,400060097871
4.8,905.0,True,Apple,Apple - iPhone X 64GB - Silver (Sprint),False,1049.99,1049.99,400060097925
4.8,1560.0,True,Apple,Apple - iPhone 7 Plus 32GB - Jet Black (Sprint),False,719.99,719.99,400060098311
4.8,1178.0,True,Apple,Apple - iPhone 8 Plus 256GB - Space Gray (Verizon),True,999.99,999.99,400060098571
4.8,1178.0,True,Apple,Apple - iPhone 8 Plus 256GB - Gold (Verizon),True,999.99,999.99,400060098595
4.8,1178.0,True,Apple,Apple - iPhone 8 Plus 256GB - Silver (Verizon),True,999.99,999.99,400060098632
4.8,1649.0,True,Apple,Apple - iPhone 8 Plus 64GB - Gold (Verizon),True,849.99,849.99,400060098809
